Item Title,Dados Utilizados,Técnicas Empregadas,Tipo de Trabalho,Contribuição de Trabalho,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A data-driven approach to predict first-year students’ academic success in higher education institutions,"Ensino Médio, Ensino Superior, Socioeconômicos",Support Vector Machine,Avaliação,Modelo,Neural Computing and Applications,,,,10.1007/s00521-023-08894-2,Ke Niu Guoqiang Lu Xueping Peng Yuhang Zhou Jingni Zeng Ke Zhang,2023,https://link.springer.com/article/10.1007/s00521-023-08894-2,Article
A hybrid approach for early-identification of at-risk dropout students using LSTM-DNN networks,"Ensino Superior, Socioeconômicos",Neural Network,Proposta de Solução,Modelo,Education and Information Technologies,,,,10.1007/s10639-020-10346-6,Paulo Diniz GilSusana da Cruz MartinsSérgio MoroJoana Martinho Costa,2020,https://link.springer.com/article/10.1007/s10639-020-10346-6,Article
A machine learning based model for student’s dropout prediction in online training,"Ensino Médio, Socioeconômicos",XGBoost,Proposta de Solução,Processo,Education and Information Technologies,,,,10.1007/s10639-023-11682-z,Juan Andrés Talamás-CarvajalHéctor G. Ceballos,2023,https://link.springer.com/article/10.1007/s10639-023-11682-z,Article
A stacking ensemble machine learning method for early identification of students at risk of dropout,"Ensino Médio, Ensino Superior, Socioeconômicos",Logistic Regression,Proposta de Solução,Modelo,Education and Information Technologies,,,,10.1007/s10639-024-12500-w,Meriem ZerkoukMiloud MihoubiBelkacem ChikhaouiShengrui Wang,2024,https://link.springer.com/article/10.1007/s10639-024-12500-w,Article
CNN autoencoders and LSTM-based reduced order model for student dropout prediction,,,,,Education and Information Technologies,,,,10.1007/s10639-024-12588-0,Houssam El AouifiMohamed El HajjiYoussef Es-Saady,2024,https://link.springer.com/article/10.1007/s10639-024-12588-0,Article
DropWrap: A Neural Network Based Automated Model for Managing Student Dropout,Socioeconômicos,RNN,Proposta de Solução,Ferramente/Sistema,Education and Information Technologies,,,,10.1007/s10639-024-13224-7,Mahmoud AbdasalamAhmad AlzubiKolawole Iyiola,2024,https://link.springer.com/article/10.1007/s10639-024-13224-7,Article
Effectiveness of data augmentation to predict students at risk using deep learning algorithms,Ensino Superior,Neural Network,Proposta de Solução,Processo,Social Network Analysis and Mining,,,,10.1007/s13278-023-01117-5,Kiran FahdShah J. Miah,2023,https://link.springer.com/article/10.1007/s13278-023-01117-5,Article
Framework for automatically suggesting remedial actions to help students at risk based on explainable ML and rule-based models,Ensino Superior,"XGBoost, Support Vector Machine, Random Forest, Naive Bayes",Proposta de Solução,Processo,International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-023-00331-8,Marcell NagyRoland Molontay,2023,https://link.springer.com/article/10.1007/s40593-023-00331-8,Article
Identification of Patterns to Prevent the Failure of Engineering Students,"Ensino Médio, Socioeconômicos",Clustering,Proposta de Solução,Modelo,International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-025-00502-9,Fabian Santiago-MuñozMikel LarrañagaJon A. ElorriagaAna Arruarte,2025,https://link.springer.com/article/10.1007/s40593-025-00502-9,Article
Interpretable Dropout Prediction: Towards XAI-Based Personalized Intervention,Ensino Médio,"XGBoost, LightGBM, Logistic Regression",Avaliação,Modelo,SN Computer Science,,,,10.1007/s42979-023-02458-w,Shyam R. Sihare,2024,https://link.springer.com/article/10.1007/s42979-023-02458-w,Article
Predicting academic success in higher education: literature review and best practices,,"Decision Tree, Neural Network, Naive Bayes, Logistic Regression, KNN",Avaliação,Processo,International Journal of Networked and Distributed Computing,,,,10.1007/s44227-025-00058-z,Partha GhoshArnab CharitHindol BanerjeeDebanwesa BandhuAgniv GhoshAnkita PalTakaaki GotoSoumya Sen,2025,https://link.springer.com/article/10.1007/s44227-025-00058-z,Article
Student Dropout Analysis in Higher Education and Retention by Artificial Intelligence and Machine Learning,Socioeconômicos,"Decision Tree, Support Vector Machine, Neural Network, KNN, Naive Bayes, Logistic Regression",Avaliação,Modelo,International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-020-0177-7,Eyman AlyahyanDilek Düştegör,2020,https://link.springer.com/article/10.1186/s41239-020-0177-7,Article
Student grade prediction for effective learning approaches using the optimized ensemble deep neural network,"Ensino Médio, Socioeconômicos",Neural Network,Proposta de Solução,Modelo,International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-022-00354-6,Balqis AlbreikiTetiana HabuzaNazar Zaki,2022,https://link.springer.com/article/10.1186/s41239-022-00354-6,Article
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,, ,,
