Title,Publication Year,,Técnicas Empregadas,Tipo de Trabalho,Contribuição de Trabalho,Base
A data mining approach for preventing undergraduate students retention,2012,Performance Ensino Superior,Logistic Regression,Avaliação,Modelo,IEEE
A data science approach to Predict the University Students at risk of semester dropout: Bangladeshi University Perspective,2021,"Performance Ensino Superior, Socioeconômicos","Random Forest, Logistic Regression",Avaliação,Modelo,IEEE
A Review of IA Use in Education Analysis,2023,Performance Ensino Superior,Neural Network,Avaliação,Modelo,IEEE
A Simple Framework for Predicting Student Dropout Analysis Using Data Mining Algorithms,2025,Performance Ensino Superior,"Logistic Regression, Decision Tree, Naive Bayes, Support Vector Machine, Random Forest, ANN",Proposta de Solução,Processo,IEEE
A Unified Digital Space for Student Academic Achievement and Dropout Statistics in India,2025,"Performance Ensino Superior, Socioeconômicos",Logistic Regression,Proposta de Solução,Sistema,IEEE
An University Student Dropout Detector Based on Academic Data,2023,"Performance Ensino Superior, Socioeconômicos",Neural Network,Avaliação,Modelo,IEEE
Analysing Imbalanced Dataset for Postgraduate Student Dropout Using Predictive Analytics,2023,Performance Ensino Superior,"Decision Tree, Random Forest, Naive Bayes, Logistic Regression, Neural Network",Avaliação,Modelo,IEEE
Application of Logistic Regression Technique for Predicting Student Dropout,2022,"Performance Ensino Superior, Socioeconômicos",Logistic Regression,Avaliação,Modelo,IEEE
Applying Data Mining Techniques to Predict Student Dropout: A Case Study,2018,"Performance Ensino Superior, Socioeconômicos","Decision Tree, Naive Bayes, Logistic Regression",Avaliação,Modelo,IEEE
Comparative Analysis of Prediction Techniques to Determine Student Dropout: Logistic Regression vs Decision Trees,2018,"Performance Ensino Médio, Socioeconômicos",Decision Tree,Avaliação,Modelo,IEEE
Comparative Study of Algorithms to Predict the Desertion in the Students at the ITSM-Mexico,2016,"Performance Ensino Superior, Socioeconômicos","Logistic Regression, Decision Tree, Neural Network",Avaliação,Modelo,IEEE
Comparison of Machine Learning Methods for Early Detection of Student Dropouts,2023,"Performance Ensino Superior, Socioeconômicos","Decision Tree, KNN, Naive Bayes, Logistic Regression, XGBoost, Random Forest, Support Vector Machine, Multi Layer Perceptrons",Avaliação,Processo,IEEE
"Comparison of Neural Network with Gradient Boosted Trees, Random Forest, Logistic Regression and SVM in predicting student achievement",2021,Performance Ensino Superior,"Neural Network, XGBoost, Logistic Regression, Random Forest, Support Vector Machine",Avaliação,Modelo,IEEE
Comparison of Resampling Techniques for Imbalanced Datasets in Student Dropout Prediction,2022,"Performance Ensino Médio, Socioeconômicos","Logistic Regression, Support Vector Machine",Avaliação,Modelo,IEEE
Dropout Prediction of University Students in Bangladesh using Machine Learning,2024,"Performance Ensino Superior, Socioeconômicos","Support Vector Machine, KNN, Decision Tree, Logistic Regression, Naive Bayes, Random Forest",Avaliação,Processo,IEEE
Dropout Prediction of University Students in Bangladesh using Machine Learning Technique,2025,"Performance Ensino Superior, Socioeconômicos","Support Vector Machine, KNN, XGBoost, Decision Tree, Logistic Regression, Naive Bayes, Random Forest, LightGBM",Avaliação,Processo,IEEE
Identifying Factors Contributing to University Dropout with Sparse Logistic Regression,2018,Performance Ensino Superior,"Baysian Networks, Logistic Regression",Proposta de Solução,Processo,IEEE
Model for Prediction of Student Dropout in a Computer Science Course,2021,"Performance Ensino Superior, Socioeconômicos","Decision Tree, Random Forest, Logistic Regression",Avaliação,Modelo,IEEE
Neural Network and Linear Regression methods for prediction of students' academic achievement,2014,Performance Ensino Superior,"Neural Network, Linear Regression",Avaliação,Modelo,IEEE
Perspectives to Predict Dropout in University Students with Machine Learning,2018,"Performance Ensino Superior, Socioeconômicos","Random Forest, Support Vector Machine, Neural Network, Logistic Regression",Avaliação,Modelo,IEEE
Predicting College Dropout Rates using Machine Learning: A Student Success Initiative,2024,"Performance Ensino Superior, Socioeconômicos","Logistic Regression, Support Vector Machine",Avaliação,Modelo,IEEE
Predicting Student Attrition: A Case Study of the University of Namibia Bachelor of Accounting (Chartered Accountancy) Programme,2023,"Performance Ensino Médio, Performance Ensino Superior, Socioeconômicos",Logistic Regression,Avaliação,Modelo,IEEE
Predicting Student Dropout: A Machine Learning Approach,2024,"Performance Ensino Médio, Socioeconômicos","Logistic Regression, Decision Tree, Random Forest, Support Vector Machine, KNN, Naive Bayes",Avaliação,Processo,IEEE
Predicting Student Retention in Higher Education Using Data Mining Techniques: A Literature Review,2023,,"Decision Tree, Random Forest, Logistic Regression, Neural Network, XGBoost",Avaliação,Modelo,IEEE
Predicting Student-Teachers Dropout Risk and Early Identification: A Four-Step Logistic Regression Approach,2022,"Performance Ensino Superior, Socioeconômicos",Logistic Regression,Avaliação,Modelo,IEEE
Predicting Students' Academic Success using Machine Learning Algorithms,2023,"Performance Ensino Superior, Socioeconômicos","Decision Tree, Logistic Regression, Random Forest",Proposta de Solução,Modelo,IEEE
Predicting Students’ Drop-Out Rate Using Machine Learning Models: A Comparative Study,2022,"Performance Ensino Superior, Socioeconômicos","Logistic Regression, KNN",Avaliação,Modelo,IEEE
Predicting the probability of student's degree completion by using different data mining techniques,2017,"Performance Ensino Médio, Performance Ensino Superior, Socioeconômicos","Naive Bayes, Decision Tree, Random Forest, Logistic Regression, KNN",Avaliação,Modelo,IEEE
Prediction of Student’s Dropout from a University Program,2021,Performance Ensino Superior,"Naive Bayes, Support Vector Machine, Logistic Regression, ANN",Avaliação,Modelo,IEEE
Predictive Analysis on University Dropout Rate of Bangladesh in Covid-19,2022,"Performance Ensino Médio, Performance Ensino Superior, Socioeconômicos","Support Vector Machine, Logistic Regression, Random Forest, Decision Tree, KNN, Naive Bayes",Avaliação,Modelo,IEEE
