Item Title,Dados Utilizados,Técnicas Empregadas,Tipo de Trabalho,Contribuição de Trabalho,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A_data-driven_approach_to_predict_first-year_students’_academic_success_in_higher_education_institutions,"Ensino Médio, Ensino Superior, Socioeconômicos",Support Vector Machine,Avaliação,Modelo,Neural Computing and Applications,,,,10.1007/s00521-023-08894-2,Ke Niu Guoqiang Lu Xueping Peng Yuhang Zhou Jingni Zeng Ke Zhang,2023,https://link.springer.com/article/10.1007/s00521-023-08894-2,Article
A_hybrid_approach_for_early-identification_of_at-risk_dropout_students_using_LSTM-DNN_networks,"Ensino Superior, Socioeconômicos",Neural Network,Proposta de Solução,Modelo,Education and Information Technologies,,,,10.1007/s10639-020-10346-6,Paulo Diniz GilSusana da Cruz MartinsSérgio MoroJoana Martinho Costa,2020,https://link.springer.com/article/10.1007/s10639-020-10346-6,Article
A_machine_learning_based_model_for_student’s_dropout_prediction_in_online_training,"Ensino Médio, Socioeconômicos",XGBoost,Proposta de Solução,Processo,Education and Information Technologies,,,,10.1007/s10639-023-11682-z,Juan Andrés Talamás-CarvajalHéctor G. Ceballos,2023,https://link.springer.com/article/10.1007/s10639-023-11682-z,Article
A_stacking_ensemble_machine_learning_method_for_early_identification_of_students_at_risk_of_dropout,"Ensino Médio, Ensino Superior, Socioeconômicos",Logistic Regression,Proposta de Solução,Modelo,Education and Information Technologies,,,,10.1007/s10639-024-12500-w,Meriem ZerkoukMiloud MihoubiBelkacem ChikhaouiShengrui Wang,2024,https://link.springer.com/article/10.1007/s10639-024-12500-w,Article
CNN_autoencoders_and_LSTM-based_reduced_order_model_for_student_dropout_prediction,,,,,Education and Information Technologies,,,,10.1007/s10639-024-12588-0,Houssam El AouifiMohamed El HajjiYoussef Es-Saady,2024,https://link.springer.com/article/10.1007/s10639-024-12588-0,Article
DropWrap:_A_Neural_Network_Based_Automated_Model_for_Managing_Student_Dropout,Socioeconômicos,RNN,Proposta de Solução,Ferramente/Sistema,Education and Information Technologies,,,,10.1007/s10639-024-13224-7,Mahmoud AbdasalamAhmad AlzubiKolawole Iyiola,2024,https://link.springer.com/article/10.1007/s10639-024-13224-7,Article
Effectiveness_of_data_augmentation_to_predict_students_at_risk_using_deep_learning_algorithms,Ensino Superior,Neural Network,Proposta de Solução,Processo,Social Network Analysis and Mining,,,,10.1007/s13278-023-01117-5,Kiran FahdShah J. Miah,2023,https://link.springer.com/article/10.1007/s13278-023-01117-5,Article
Framework_for_automatically_suggesting_remedial_actions_to_help_students_at_risk_based_on_explainable_ML_and_rule-based_models,Ensino Superior,"XGBoost, Gaussian Naive Bayes, Support Vector Machine, Random Forest",Proposta de Solução,Processo,International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-023-00331-8,Marcell NagyRoland Molontay,2023,https://link.springer.com/article/10.1007/s40593-023-00331-8,Article
Identification_of_Patterns_to_Prevent_the_Failure_of_Engineering_Students,"Ensino Médio, Socioeconômicos",Clustering,Proposta de Solução,Modelo,International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-025-00502-9,Fabian Santiago-MuñozMikel LarrañagaJon A. ElorriagaAna Arruarte,2025,https://link.springer.com/article/10.1007/s40593-025-00502-9,Article
Interpretable_Dropout_Prediction:_Towards_XAI-Based_Personalized_Intervention,Ensino Médio,"XGBoost, LightGBM, Logistic Regression",Avaliação,Modelo,SN Computer Science,,,,10.1007/s42979-023-02458-w,Shyam R. Sihare,2024,https://link.springer.com/article/10.1007/s42979-023-02458-w,Article
Predicting_academic_success_in_higher_education:_literature_review_and_best_practices,,"Decision Tree, Neural Network, Naive Bayes, Logistic Regression, KNN",Avaliação,Processo,International Journal of Networked and Distributed Computing,,,,10.1007/s44227-025-00058-z,Partha GhoshArnab CharitHindol BanerjeeDebanwesa BandhuAgniv GhoshAnkita PalTakaaki GotoSoumya Sen,2025,https://link.springer.com/article/10.1007/s44227-025-00058-z,Article
Student_Dropout_Analysis_in_Higher_Education_and_Retention_by_Artificial_Intelligence_and_Machine_Learning,Socioeconômicos,"Decision Tree, Support Vector Machine, Neural Network, KNN, Naive Bayes, Logistic Regression",Avaliação,Modelo,International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-020-0177-7,Eyman AlyahyanDilek Düştegör,2020,https://link.springer.com/article/10.1186/s41239-020-0177-7,Article
Student_grade_prediction_for_effective_learning_approaches_using_the_optimized_ensemble_deep_neural_network,"Ensino Médio, Socioeconômicos",Neural Network,Proposta de Solução,Modelo,International Journal of Educational Technology in Higher Education,,,,10.1186/s41239-022-00354-6,Balqis AlbreikiTetiana HabuzaNazar Zaki,2022,https://link.springer.com/article/10.1186/s41239-022-00354-6,Article
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,, ,,
